SWIR1,SWIR2,Blue,Green,Red,RedEdge1,RedEdge2,RedEdge3,NIR,NIR_Narrow,NDMI,NDVI,NDWI,Longitude,Latitude
2115,994,402,637,390,946,2492,3160,3475,3526,0.24329158663749695,0.7981888651847839,-0.6901751160621643,107.24945752915181,11.402450648621704
1596,697,361,484,316,831,2364,3078,2999,3429,0.30533188581466675,0.8093514442443848,-0.7220786809921265,107.2545779262713,11.374333380228762
2307,1052,326,610,376,927,2530,3295,3917,3661,0.25867608189582825,0.8248311281204224,-0.7305058240890503,107.37351486988872,11.735815450558459
1757,765,308,549,306,880,2720,3496,3548,3805,0.3376060426235199,0.8412039279937744,-0.7319990396499634,107.30677004427864,11.666016352982371
1479,609,250,442,309,787,2286,2999,3046,3190,0.34629833698272705,0.8157973289489746,-0.7465596199035645,107.50215361857464,11.757734343490975
1444,595,296,455,256,756,2487,3196,2897,3490,0.33471551537513733,0.8376149535179138,-0.7285202741622925,107.29679874462491,11.416913524696028
1732,728,259,480,261,799,2345,3060,3012,3430,0.26981449127197266,0.840513288974762,-0.7250859141349792,107.35941131992804,11.712099927057704
1714,711,299,570,288,864,2833,3536,4064,3854,0.40671512484550476,0.8676470518112183,-0.7539922595024109,107.38797774596304,11.69584042041514
1651,784,345,538,351,883,2099,2501,2688,2874,0.23899516463279724,0.7690029740333557,-0.6664600372314453,107.36066896132581,11.44880371728227
1935,928,330,532,378,890,2341,2931,2767,3315,0.1769459843635559,0.7596184611320496,-0.677478015422821,107.21639952669622,11.488688915897178
1654,723,290,475,285,785,2438,3123,3364,3412,0.34077322483062744,0.8437927961349487,-0.7525396943092346,107.29841571213633,11.65676370555594
2347,1096,428,672,448,1033,2562,3274,3564,3713,0.2058873325586319,0.776669979095459,-0.6827195286750793,107.20445193341743,11.52830461992685
1330,562,257,402,225,685,2174,2919,2843,3275,0.3625688850879669,0.8533246517181396,-0.7522342205047607,107.3305753993078,11.393018338138448
2022,904,276,508,284,857,2578,3275,3251,3675,0.2330741584300995,0.8393210768699646,-0.7297153472900391,107.39300831155411,11.725844150904733
1971,932,380,584,407,940,2376,2982,3135,3389,0.22796709835529327,0.7701863646507263,-0.6859371066093445,107.24685241482787,11.536299625955513
